,atm,attraction,cafe,default,drug store,food,grocery,lodging,nightlife,shopping,sports,transport,Travel Agency    1,trezor retailer  1,trezor retailer  2,trezor retailer  3,Grand Total
2013-02,,,,,,,,,1,,,,,,,,1
2013-03,,,,1,,,,1,,,,,,,,,2
2013-04,,1,2,15,,6,1,4,2,3,1,,,,,,35
2013-05,,1,2,7,,2,,2,,5,,,,,,,19
2013-06,,1,,6,,5,,,,1,,,,,,,13
2013-07,,1,4,20,,5,,13,,6,2,,,,,,51
2013-08,,2,3,46,,5,3,1,1,5,,,,,,,66
2013-09,,,1,83,,2,3,12,3,5,1,1,,,,,111
2013-10,,1,2,77,,7,9,8,1,15,1,,,,,,121
2013-11,2,12,5,447,,23,4,16,5,43,1,4,,,,,562
2013-12,3,12,13,580,,27,2,21,4,67,7,4,,,,,740
2014-01,4,2,11,500,,20,4,27,12,34,3,2,,,,,619
2014-02,2,4,7,290,,19,,13,3,23,4,1,,,,,366
2014-03,3,1,6,241,,190,3,9,8,40,5,1,,,,,507
2014-04,,3,7,152,,121,6,8,7,35,,2,,,,,341
2014-05,6,4,10,200,,33,4,7,8,27,3,2,,,,,304
2014-06,8,3,5,128,,9,4,9,5,81,,8,,,,,260
2014-07,13,,7,143,,37,3,49,3,17,,1,,,,,273
2014-08,6,2,4,168,,22,1,15,7,25,1,2,,,,,253
2014-09,6,3,5,95,,14,2,6,7,19,,1,,,,,158
2014-10,4,2,9,139,,11,2,9,2,17,5,,,,,,200
2014-11,3,1,7,84,,37,3,14,8,22,1,,,,,,180
2014-12,9,2,8,101,,26,3,9,7,29,3,1,,,,,198
2015-01,5,2,8,137,,15,,7,6,27,1,1,,,,,209
2015-02,10,,10,64,,12,4,2,2,19,1,4,,,,,128
2015-03,5,2,10,96,,20,3,7,4,24,5,,,,,,176
2015-04,6,1,3,52,,21,3,9,6,15,,,,,,,116
2015-05,9,1,5,45,,11,4,6,5,17,2,1,,,,,106
2015-06,15,1,12,118,,15,5,6,7,28,1,5,,,,,213
2015-07,16,3,6,104,,19,3,8,1,27,2,4,,,,,193
2015-08,4,2,12,80,,14,2,5,3,31,3,1,,,,,157
2015-09,8,2,3,78,,11,,3,3,30,2,5,,,,,145
2015-10,14,,3,48,,7,,4,,10,,2,,,,,88
2015-11,30,13,2,48,,5,1,2,1,32,1,1,,,,,136
2015-12,6,3,4,18,,3,1,3,2,10,1,,,,,,51
2016-01,5,4,2,20,,9,1,5,1,7,2,4,,,,,60
2016-02,6,2,3,24,,8,,4,1,14,1,2,,,,,65
2016-03,8,,2,22,,6,1,,1,12,,,,,,,52
2016-04,8,3,2,29,,5,2,2,1,10,8,2,,,,,72
2016-05,15,2,3,98,,10,,8,2,15,1,,,,,,154
2016-06,21,,1,33,,9,,3,2,17,1,2,,,,,89
2016-07,8,,5,40,,11,2,3,1,9,3,2,,,,,84
2016-08,8,3,6,26,,16,,4,2,17,1,2,,,,,85
2016-09,40,1,1,42,,6,,4,2,18,1,3,,,,,118
2016-10,13,,1,38,,14,2,2,3,12,2,,,,,,87
2016-11,17,2,2,40,,9,,7,4,32,,5,,0,,,118
2016-12,10,3,4,84,,8,1,4,3,19,1,1,,,,,138
2017-01,22,,2,47,,7,1,4,2,71,3,4,,,,,163
2017-02,17,3,16,41,1,11,23,8,3,113,2,,,,,,238
2017-03,6,1,2,42,,5,,14,1,14,5,2,,,,,92
2017-04,8,3,2,53,,6,1,10,,16,4,,0,,,,103
2017-05,13,2,6,85,,14,5,9,5,39,7,4,,,,,189
2017-06,20,5,6,92,,14,2,7,2,30,8,4,,,,,190
2017-07,16,2,4,67,,18,1,3,5,30,,2,,,,,148
2017-08,11,10,4,145,,31,3,15,9,57,5,8,,,,0,298
2017-09,13,7,9,154,,21,2,19,7,96,7,6,,,,,341
2017-10,71,12,9,164,,19,2,24,8,76,20,5,,,0,,410
2017-11,6,1,,21,,1,,3,1,13,1,,,,,,47
Grand Total,559,154,288,5818,1,1032,132,477,200,1526,140,112,0,0,0,0,10439
